t_index,term,df
554,arleigh,3
555,arlen,2
556,arlington,8
557,arm,133
558,armament,2
559,armbrist,1
560,armei,1
561,armenia,2
562,armi,136
563,armitag,1
564,armor,17
565,armori,3
566,arn,3
567,arnaud,17
568,arni,1
569,arno,1
570,arnold,3
571,arnot,1
572,aros,5
573,arous,1
574,arrai,6
575,arraign,2
576,arrang,38
577,arrear,1
578,arrest,109
579,arriv,180
580,arrog,3
581,arrow,4
582,arsen,10
583,arseni,1
584,arsonist,1
585,art,10
586,artfulli,1
587,arthriti,1
588,arthur,4
589,articl,5
590,articul,1
591,artifact,1
592,artifici,4
593,artist,4
594,artudo,1
595,arturo,6
596,aruba,2
597,aryapov,1
598,asa,1
599,asahi,1
600,ascend,1
601,ascrib,4
602,asean,1
603,ash,5
604,asham,1
605,ashcroft,56
606,ashkroft,1
607,ashok,1
608,ashor,2
609,ashraf,1
610,ashtrai,1
611,asia,32
612,asian,15
613,asid,30
614,ask,196
615,aspect,11
616,aspir,2
617,assad,1
618,assail,4
619,assam,6
620,assassin,21
621,assault,28
622,assembl,19
623,assert,17
624,assess,48
625,asset,10
626,assign,24
627,assist,76
628,associ,119
629,assort,1
630,assum,38
631,assumpt,7
632,assur,35
633,assuredli,2
634,astakhov,12
635,asterisk,2
636,astonish,7
637,astound,2
638,astronom,1
639,astut,1
640,asylum,29
641,asymmetr,2
642,at,4
643,atal,13
644,atck,2
645,atf,2
646,atfein,1
647,ath,1
648,athal,1
649,athlet,3
650,atlant,15
651,atlanta,6
652,atmat,1
653,atmospher,10
654,atom,4
655,atop,13
656,atp,3
657,atroc,10
658,atrophi,1
659,attach,15
660,attack,306
661,attain,1
662,attar,1
663,attempt,112
664,attend,68
665,attent,64
666,attest,2
667,attitud,10
668,attornei,58
669,attract,15
670,attribut,12
671,attrit,1
672,atwan,1
673,aubrei,19
674,aubri,5
675,audienc,16
676,audio,4
677,audiotap,1
678,auditor,5
679,auditorium,1
680,aug,33
681,augment,1
682,august,32
683,aunt,2
684,aur,5
685,aura,1
686,aurora,4
687,ausi,1
688,aussi,9
689,auster,2
690,austin,18
691,australia,23
692,australian,72
693,austria,3
694,austrian,1
695,austro,1
696,authent,2
697,author,255
698,authoritarian,27
699,auto,1
700,autocrat,27
701,autograph,1
702,autom,1
703,automat,18
704,automobil,4
705,autonom,1
706,autonomi,3
707,autopilot,1
708,autopsi,1
709,autumn,2
710,av,1
711,avail,44
712,avala,1
713,avalanch,1
714,aveng,7
715,avent,1
716,avenu,4
717,averag,14
718,avert,6
719,aviat,3
720,aviv,4
721,avner,2
722,avoid,59
723,avow,1
724,aw,12
725,awad,2
726,awai,167
727,await,27
728,awaken,2
729,awar,18
730,award,9
731,aweigh,1
732,awfulli,2
733,awkward,4
734,awn,4
735,awok,1
736,ax,1
737,axam,1
738,ay,2
739,ayatollah,1
740,aykroyd,1
741,ayman,5
742,aynaoui,1
743,ayr,1
744,ayyam,2
745,az,1
746,aziz,1
747,azul,1
748,azulai,2
749,b,24
750,ba,2
751,babenko,2
752,babi,14
753,babkin,6
754,baboa,1
755,back,74
756,backa,1
757,backbo,1
758,backcourt,1
759,backdrop,4
760,backer,14
761,backfir,5
762,background,4
763,backhand,14
764,backho,1
765,backlash,3
766,backstop,2
767,backup,2
768,backward,3
769,backyard,1
770,bacon,18
771,bad,39
772,badawi,1
773,badg,3
774,badli,39
775,badrasen,5
776,baffl,2
777,bag,14
778,bagad,1
779,baggag,1
780,baghbel,1
781,baghdad,2
782,bahg,5
783,bahrain,35
784,bai,8
785,baijubahi,2
786,bail,4
787,bailei,6
788,baird,1
789,bairnt,1
790,bait,1
791,bakarec,3
792,bake,2
793,baken,1
794,baker,5
795,bakhshish,1
796,bakri,5
797,balanc,21
798,balawat,1
799,balcacer,2
800,balconi,11
801,bald,1
802,balint,1
803,balk,4
804,balkan,25
805,ball,30
806,ballard,1
807,ballast,2
808,ballena,1
809,ballist,2
810,ballo,1
811,balloon,3
812,ballot,72
813,ballroom,2
814,balonia,1
815,balsamo,1
816,baltimor,3
817,baltin,1
818,bamba,3
819,bambi,1
820,bamboo,4
821,bament,1
822,ban,24
823,banco,1
824,band,11
825,bandag,8
826,bandanna,3
827,bandit,1
828,bang,7
829,bangalor,1
830,bangaru,3
831,bangladesh,5
832,bank,69
833,banker,10
834,bankrupt,5
835,bankruptci,4
836,banner,9
837,bannon,1
838,banquet,1
839,baptist,6
840,bar,54
841,barak,9
842,barb,4
843,barbar,2
844,barbara,24
845,barber,1
846,barbershop,1
847,barcelona,1
848,bare,46
849,barefacedli,1
850,barent,36
851,barg,3
852,bargain,9
853,bari,1
854,bark,1
855,barkina,2
856,barkolla,1
857,barkova,3
858,barna,4
859,barnei,1
860,barnstorm,1
861,barot,1
862,barov,1
863,barr,2
864,barrack,35
865,barrag,2
866,barrel,2
867,barrera,2
868,barri,1
869,barricad,18
870,barrier,12
871,bartlett,1
872,barua,5
873,base,188
874,basebal,5
875,baselin,16
876,basement,1
877,basher,1
878,bashraheel,1
879,bashrahel,1
880,basi,15
881,basic,43
882,basilica,1
883,bask,2
884,basket,3
885,basketbal,1
886,basset,1
887,bassiouni,1
888,bastion,6
889,batch,1
890,bath,4
891,bathroom,3
892,bathtub,1
893,batic,2
894,baton,4
895,battalion,3
896,batten,1
897,batter,8
898,batteri,2
899,battl,78
900,battlefield,4
901,battleground,8
902,bauman,6
903,bautista,1
904,bavaria,1
905,bazaar,1
906,bbc,29
907,be,1
908,beach,17
909,beachfront,1
910,bead,1
911,beal,1
912,beam,14
913,bean,3
914,bear,23
915,beard,20
916,bearer,2
917,beat,79
918,beaten,31
919,beater,3
920,beaumont,1
921,beauti,6
922,beaver,1
923,becausec,1
924,beci,2
925,becker,1
926,bed,35
927,bedanova,2
928,bedi,12
929,bedouin,1
930,bedroom,6
931,bedsheet,1
932,beef,6
933,beer,2
934,befit,1
935,befriend,1
936,befuddl,1
937,beg,4
938,began,156
939,beggar,1
940,begin,151
941,begun,31
942,behalf,8
943,behan,1
944,behari,3
945,behav,9
946,behavior,11
947,beholden,3
948,beij,3
949,beirut,9
950,bekki,3
951,belaru,1
952,belch,1
953,beleagu,3
954,belgian,5
955,belgium,6
956,belgrad,100
957,beli,1
958,belida,3
959,belief,17
960,believ,292
961,belittl,1
962,bell,4
963,belliger,1
964,belong,31
965,belov,5
966,belt,8
967,bema,2
968,bemoan,1
969,ben,5
970,bench,4
971,benchmark,1
972,bend,2
973,beneath,31
974,benefactor,2
975,benefici,1
976,beneficiari,1
977,benefit,17
978,benevol,7
979,benign,1
980,benin,8
981,benito,1
982,benjamin,2
983,bennett,1
984,benni,1
985,bent,13
986,benton,1
987,bequeath,1
988,berat,1
989,bere,1
990,beresich,1
991,beretta,1
992,bergen,1
993,berger,25
994,berlin,8
995,bernstein,2
996,bershard,1
997,bershevski,1
998,berth,2
999,beschloss,1
1000,beset,2
1001,besieg,4
1002,bespectacl,2
1003,best,101
1004,bet,5
1005,beta,8
1006,beth,1
1007,betrai,2
1008,betray,2
1009,betrisia,1
1010,better,119
1011,bevan,1
1012,beveneari,1
1013,bewild,1
1014,bhaba,2
1015,bhachau,4
1016,bhagat,1
1017,bhakta,1
1018,bharatiya,3
1019,bharpi,3
1020,bhaskar,5
1021,bhat,1
1022,bhatt,1
1023,bhavesh,1
1024,bhowmik,1
1025,bhug,1
1026,bhuj,33
1027,bia,1
1028,biafran,2
1029,biarritz,3
1030,bias,8
1031,bibl,4
1032,biblic,1
1033,bicker,3
1034,bicycl,5
1035,bid,50
1036,bidanora,1
1037,big,76
1038,bigger,8
1039,biggest,39
1040,bigot,1
1041,bihari,10
1042,bilater,8
1043,bilingu,1
1044,bill,6
1045,billboard,2
1046,billet,1
1047,billi,4
1048,billion,59
1049,billionair,9
1050,billow,13
1051,biltera,1
1052,bimal,2
1053,bin,87
1054,bind,5
1055,bindra,3
1056,bingaman,2
1057,bingo,1
1058,binocular,5
1059,bio,1
1060,biogeneticist,1
1061,biograph,3
1062,biographi,4
1063,biolog,4
1064,bion,1
1065,bipartisan,2
1066,bipartisanship,1
1067,bird,3
1068,birger,1
1069,birth,9
1070,birthdai,6
1071,birthmark,1
1072,birthplac,1
1073,biscuit,3
1074,bishop,2
1075,bit,46
1076,bite,2
1077,biter,1
1078,bitka,1
1079,bitten,1
1080,bitter,20
1081,bitterli,10
1082,bittersweet,2
1083,biw,1
1084,bizarr,10
1085,bjorn,1
1086,black,58
1087,blacken,4
1088,blackmail,5
1089,blackout,4
1090,blade,1
1091,blair,15
1092,blakemor,1
1093,blame,56
1094,blanchard,1
1095,blanco,7
1096,bland,1
1097,blanda,1
1098,blank,3
1099,blanket,35
1100,blankli,2
1101,blare,1
1102,blast,109
1103,blatant,2
1104,blaze,6
1105,bleach,1
1106,bleacher,1
1107,bleak,1
1108,bled,1
1109,bleed,2
1110,blemish,1
1111,blend,4
1112,bless,9
1113,blew,42
1114,blind,8
1115,blindli,5
1116,blink,3
1117,blister,2
1118,blitz,1
1119,blitzer,1
1120,blizzard,5
1121,bloat,4
1122,bloc,7
1123,block,83
1124,blockad,15
1125,blocker,1
1126,blocki,1
1127,blokosso,1
1128,blond,6
1129,blood,34
1130,bloodbath,2
1131,bloodi,8
1132,bloodiest,1
1133,bloodless,2
1134,bloodsh,9
1135,bloodstain,1
1136,bloomberg,1
1137,bloomer,1
1138,blous,1
1139,blow,25
1140,blown,11
1141,blowtorch,1
1142,blue,46
1143,blueprint,11
1144,bluf,5
1145,blunk,1
1146,blunt,2
1147,bluntli,2
1148,blur,2
1149,blurb,1
1150,blusteri,1
1151,blvd,1
1152,bnaibrith,1
1153,bo,5
1154,board,63
1155,boarder,5
1156,boardwalk,1
1157,boast,3
1158,boat,117
1159,boater,1
1160,boatmen,1
1161,bob,24
1162,bobbi,6
1163,bobic,1
1164,bodi,188
1165,bodien,1
1166,bodin,9
1167,bodon,1
1168,bodyguard,10
1169,boe,2
1170,bog,2
1171,boga,1
1172,bogg,1
1173,bogu,4
1174,bohdan,2
1175,boi,35
1176,boigni,6
1177,boil,1
1178,boister,1
1179,bojic,1
1180,bold,3
1181,boldli,1
1182,bolivia,1
1183,bolona,2
1184,bolster,12
1185,bolt,1
1186,bomb,259
1187,bombai,5
1188,bombard,2
1189,bombei,1
1190,bomber,57
1191,bombet,2
1192,bombmak,4
1193,bombshel,1
1194,bond,17
1195,bondjump,1
1196,bone,53
1197,bonecardi,1
1198,bonfir,3
1199,bonilla,1
1200,bonni,1
1201,bono,1
1202,bonu,1
1203,boo,3
1204,boobi,3
1205,book,26
1206,bookend,1
1207,boom,7
1208,boost,14
1209,booster,1
1210,boot,5
1211,booth,8
1212,bor,1
1213,border,53
1214,bore,3
1215,borg,1
1216,bori,7
1217,borisav,1
1218,borislav,3
1219,borisov,1
1220,borivoj,1
1221,bork,1
1222,borka,1
1223,born,47
1224,borneo,4
1225,borotra,1
1226,borrow,2
1227,borzon,1
1228,bosnia,16
1229,bosnian,5
1230,boss,10
1231,boston,18
1232,botch,5
1233,bother,9
1234,bottl,5
1235,bouak,1
1236,boucher,8
1237,bouffard,1
1238,bought,10
1239,boulevard,1
1240,bounc,7
1241,bound,15
1242,boundari,2
1243,bounti,1
1244,bout,5
1245,bow,11
1246,bowel,2
1247,bowen,2
1248,bowl,1
1249,bowman,1
1250,bowmen,1
1251,bowrei,1
1252,box,17
1253,boxer,1
1254,boycot,26
1255,boycott,18
1256,boyd,1
1257,boyfriend,4
1258,bozov,3
1259,braca,2
1260,brace,4
1261,braci,1
1262,bracket,1
1263,brad,6
1264,bradi,1
1265,bradman,1
1266,bradshaw,1
1267,brag,4
1268,brain,2
1269,brainwash,3
1270,brake,1
1271,branch,9
1272,brand,6
1273,brandish,6
1274,brandon,1
1275,brash,2
1276,brass,4
1277,brave,6
1278,bravent,1
1279,braveri,2
1280,bravo,4
1281,brazen,1
1282,brazil,2
1283,brazilian,1
1284,breach,3
1285,bread,1
1286,breadbasket,2
1287,break,111
1288,breakawai,2
1289,breakdown,3
1290,breaker,1
1291,breakfast,6
1292,breakout,9
1293,breakthrough,12
1294,breakup,3
1295,breast,4
1296,breath,6
1297,breaux,1
1298,breed,5
1299,breez,6
1300,breme,1
1301,bremer,1
1302,brenton,2
1303,brevant,1
1304,brew,3
1305,brewer,1
1306,brian,15
1307,bribe,40
1308,briberi,10
1309,brick,12
1310,bride,1
1311,bridg,19
1312,bridgett,1
1313,brie,6
1314,brief,63
1315,briefli,24
1316,brien,1
1317,brig,1
1318,brigad,3
1319,bright,11
1320,brighten,2
1321,brighter,1
1322,brightest,2
1323,brightli,1
1324,brilliant,3
1325,brim,1
1326,bring,126
1327,brink,6
1328,brisk,1
1329,briskli,3
1330,bristl,3
1331,britain,37
1332,british,56
1333,briton,3
1334,broad,14
1335,broadcast,59
1336,broaden,2
1337,broader,9
1338,broadli,3
1339,broder,1
1340,brokaw,1
1341,broke,91
1342,broken,49
1343,broker,7
1344,brokerag,1
1345,bronco,1
1346,bronxvil,1
1347,bronz,2
1348,brood,1
1349,brook,3
1350,brooklyn,1
1351,broom,1
1352,brother,73
1353,brought,116
1354,brow,2
1355,brown,18
1356,broz,1
1357,bruce,1
1358,bruis,7
1359,brunei,22
1360,brunswick,1
1361,brunt,4
1362,brush,7
1363,brussel,6
1364,brutal,16
1365,bryan,4
1366,bryann,1
1367,bryant,1
1368,bt,1
1369,bu,18
1370,bubbl,2
1371,buccan,1
1372,buchanan,7
1373,buck,9
1374,bucket,4
1375,buckl,13
1376,bud,3
1377,budapest,1
1378,buddhist,1
1379,buddi,1
1380,budget,9
1381,budnev,1
1382,budor,1
1383,budsmen,1
1384,budva,1
1385,bueni,1
1386,buf,4
1387,buff,4
1388,buffalo,3
1389,buffer,1
1390,bug,5
1391,bugss,1
1392,bui,44
1393,build,170
1394,builder,6
1395,buildup,2
1396,built,29
1397,bulatov,7
1398,bulg,1
1399,bulgaria,3
1400,bulk,4
1401,bulkhead,4
1402,bulki,1
1403,bulldoz,25
1404,bullet,10
1405,bulletin,3
1406,bulletproof,3
1407,bulli,3
1408,bullzdoz,1
1409,bum,1
1410,bump,2
1411,bumper,4
1412,bumpi,1
1413,bunch,5
1414,bundl,1
1415,bungl,6
1416,bunk,5
1417,bunker,7
1418,bunkroom,1
1419,bunt,1
1420,buoi,7
1421,buraika,1
1422,burch,1
1423,burden,7
1424,bureau,33
1425,bureaucraci,4
1426,bureaucrat,7
1427,burglar,7
1428,burglari,8
1429,burgsmul,2
1430,buri,85
1431,burial,13
1432,burk,6
1433,burkhard,1
1434,burkina,8
1435,burkinab,1
1436,burkl,5
1437,burli,4
1438,burn,47
1439,burner,2
1440,burnt,3
1441,burri,1
1442,burst,10
1443,burton,5
1444,buse,19
1445,bush,99
1446,bushi,1
1447,bushnel,1
1448,busi,90
1449,busiest,1
1450,busili,1
1451,businessman,54
1452,businessmen,5
1453,buss,1
1454,bust,7
1455,bustamant,1
1456,bustl,5
1457,butcher,4
1458,butter,1
1459,button,4
1460,buttress,5
1461,buyer,2
1462,buzz,6
1463,bye,5
1464,bypass,5
1465,byrd,6
1466,c,49
1467,ca,1
1468,cab,2
1469,cabana,1
1470,cabin,2
1471,cabinet,32
1472,cabl,5
1473,cacak,8
1474,cach,2
1475,cadav,1
1476,cadet,1
1477,caeti,1
1478,cafe,4
1479,cafetalon,1
1480,cafeteria,1
1481,cage,5
1482,cagl,1
1483,cahokia,3
1484,cairo,5
1485,caisson,1
1486,cake,5
1487,cal,2
1488,calam,5
1489,calamit,1
1490,calatrava,2
1491,calcul,10
1492,calculu,1
1493,calcutta,3
1494,calderon,1
1495,calei,1
1496,calena,1
1497,calhoun,1
1498,calib,4
1499,calif,7
1500,california,32
1501,calina,1
1502,calix,1
1503,call,309
1504,callahan,1
1505,callen,3
1506,caller,5
1507,callou,1
1508,callous,1
1509,calm,38
1510,calmli,1
1511,calvario,6
1512,calvert,1
1513,cambodia,3
1514,camden,1
1515,came,236
1516,camel,3
1517,camera,26
1518,cameraman,3
1519,cameroon,2
1520,camouflag,7
1521,camp,49
1522,campaign,155
1523,campbel,1
1524,campfir,3
1525,campground,1
1526,campu,2
1527,can,2
1528,canada,14
1529,canal,21
1530,canberra,1
1531,cancel,38
1532,cancer,45
1533,candid,144
1534,candidaci,15
1535,candiotti,2
1536,candl,3
1537,candlelight,4
1538,candor,2
1539,cane,2
1540,canist,2
1541,cannadai,3
1542,cannistraro,4
1543,cannon,3
1544,canon,1
1545,canopi,2
1546,canton,1
1547,cantwel,4
1548,canva,3
1549,canvass,3
1550,cap,19
1551,capabl,25
1552,capac,15
1553,cape,2
1554,capit,159
1555,capitalist,2
1556,capitol,28
1557,capitul,1
1558,capp,1
1559,capriati,33
1560,capsul,2
1561,capt,30
1562,captain,28
1563,captiv,6
1564,captor,4
1565,captur,58
1566,car,99
1567,caraca,2
1568,carat,1
1569,caravan,3
1570,carbon,2
1571,card,21
1572,cardboard,1
1573,cardiopulmonari,1
1574,care,71
1575,career,50
1576,carefulli,17
1577,carei,1
1578,caretak,4
1579,cargo,12
1580,caribbean,2
1581,carin,1
1582,cario,1
1583,carjack,2
1584,carl,4
1585,carlo,29
1586,carlson,1
1587,carlton,1
1588,carman,1
1589,carmelo,2
1590,carmen,4
1591,carmodi,4
1592,carnahan,66
1593,carnahand,1
1594,carniv,1
1595,carol,6
1596,carolina,5
1597,carpent,7
1598,carper,8
1599,carpet,5
1600,carpetbagg,2
1601,carr,1
1602,carri,183
1603,carrier,20
1604,carrol,2
1605,carrot,1
1606,carson,5
1607,cart,1
1608,carter,10
1609,carthag,2
1610,carv,9
1611,carver,1
1612,case,169
1613,casetch,1
1614,cash,24
1615,cashier,1
1616,casino,1
1617,casket,16
1618,cast,47
1619,castellano,2
1620,castiel,1
1621,castil,1
1622,castleburi,4
1623,castro,9
1624,casual,2
1625,casualti,22
1626,cat,2
1627,cataclysm,1
1628,catalyst,1
1629,catastroph,12
1630,catcal,1
1631,catch,16
1632,cate,4
1633,categor,1
1634,categori,1
1635,caterpillar,2
1636,cathedr,1
1637,catherin,3
1638,cathi,1
1639,cathol,7
1640,catholicrelief,1
1641,cattl,2
1642,caucasian,2
1643,caught,46
1644,caus,132
1645,caution,18
1646,cautiou,19
1647,cautious,2
1648,cave,3
1649,cavern,1
1650,cavort,1
1651,cawl,3
1652,cayman,3
1653,cb,6
1654,cd,1
1655,ceas,14
1656,ceaselessli,2
1657,ceausescu,1
1658,cecil,1
1659,cedar,2
1660,cede,3
1661,cedomir,1
1662,cedric,6
1663,ceil,2
1664,celebr,83
1665,celebrateor,1
1666,celera,1
1667,celest,1
1668,cell,23
1669,cellblock,1
1670,cellphon,2
1671,cellular,10
1672,cement,7
1673,cemeteri,8
1674,censor,2
1675,censorship,2
1676,cent,1
1677,centcom,2
1678,center,145
1679,centerpiec,2
1680,centigrad,1
1681,centimet,1
1682,central,85
1683,centrist,6
1684,centuri,28
1685,ceo,1
1686,ceremoni,52
1687,cerf,9
1688,cerna,3
1689,certain,36
1690,certainli,56
1691,certainti,4
1692,certif,3
1693,certifi,3
